S.no,College Name,City,State,ESTD,Fees Per Year
28,"Era's Lucknow Medical College & Hospital",Lucknow,Uttar Pradesh,1997,"16,60,000"
29,"Teerthanker Mahaveer Medical College & Research Centre",Moradabad,Uttar Pradesh,2008,"16,20,000"
30,"F.H. Medical College",Agra,Uttar Pradesh,2014,"16,50,000"
31,"Integral Institute of Medical Sciences & Research",Lucknow,Uttar Pradesh,2013,"17,00,000"
32,"K.P.C. Medical College & Hospital",Kolkata,West Bengal,2006,"16,00,000"
33,"IQ City Medical College",Durgapur,West Bengal,2013,"22,00,000"
34,"Jagannath Gupta Institute of Medical Sciences",Kolkata,West Bengal,2016,"19,00,000"
35,"ICARE Institute of Medical Science & Research",Medinipur,West Bengal,2011,"19,00,000"
36,"JIS School of Medical Science & Research",Howrah,West Bengal,2023,"21,88,000"
37,"JMN Medical College",Kolkata,West Bengal,2023,"19,00,000"
38,"Gouri Devi Institute of Medical Sciences & Hospital",Durgapur,West Bengal,2016,"21,88,000"
39,"Shantiniketan Medical College",Bolpur,West Bengal,2020,"19,00,000"
40,"Shri Ramkrishna Institute of Medical Sciences",Durgapur,West Bengal,2019,"19,00,000"
41,"SGT Medical College & Research Institute",Gurgaon,Haryana,2010,"18,00,000"
42,"Al-Falah School of Medical Science & Research Centre",Faridabad,Haryana,2019,"14,25,000"
43,"NC Medical College & Hospital",Panipat,Haryana,2016,"12,00,000"
44,"Adesh Medical College & Hospital",Kurukshetra,Haryana,2015,"12,00,000"
45,"World College of Medical Sciences & Research",Jhajjar,Haryana,2016,"12,00,000"
46,"Sri Madhusudan Sai Institute of Medical Sciences",Chikkaballapur,Karnataka,2023,"750"
47,"St. John's Medical College",Bengaluru,Karnataka,1963,"7,88,385"
48,"Kempegowda Institute of Medical Sciences",Bengaluru,Karnataka,1980,"10,92,852"
49,"Vydehi Institute of Medical Sciences & Research Centre",Bengaluru,Karnataka,2002,"10,92,852"
50,"Dr. B.R. Ambedkar Medical College",Bengaluru,Karnataka,1981,"10,92,852"
51,"BGS Global Institute of Medical Sciences",Bengaluru,Karnataka,2013,"10,92,852"
52,"M.V.J. Medical College & Research Hospital",Bengaluru,Karnataka,2001,"10,92,852"
53,"Akash Institute of Medical Sciences & Research Centre",Bengaluru,Karnataka,2016,"10,92,852"
54,"East Point College of Medical Sciences & Research Centre",Bengaluru,Karnataka,2016,"10,92,852"
55,"S. Nijalingappa Medical College & HSK Hospital",Bagalkot,Karnataka,2002,"10,92,852"
56,"Al-Ameen Medical College",Vijayapura,Karnataka,1984,"10,92,852"
57,"Sri Basaveshwara Medical College and Hospital",Chitradurga,Karnataka,2002,"10,92,852"
58,"J.J.M. Medical College",Davanagere,Karnataka,1965,"10,92,852"
59,"S.S. Institute of Medical Sciences & Research Centre",Davanagere,Karnataka,2002,"10,92,852"
60,"Mahadevappa Rampure Medical College",Kalaburagi,Karnataka,1963,"10,92,852"
61,"The Oxford Medical College Hospital & Research Centre",Bengaluru,Karnataka,2013,"10,92,852"
62,"Father Muller Medical College",Mangaluru,Karnataka,1999,"10,92,852"
63,"A.J. Institute of Medical Sciences & Research Centre",Mangaluru,Karnataka,2002,"10,92,852"
64,"Srinivas Institute of Medical Sciences and Research",Mangaluru,Karnataka,2011,"10,92,852"
65,"Kanachur Institute of Medical Sciences & Research Centre",Mangaluru,Karnataka,2016,"10,92,852"
66,"K.V.G. Medical College",Sullia,Karnataka,2002,"10,92,852"
67,"G.R. Medical College Hospital & Research Centre",Mangaluru,Karnataka,2021,"10,92,852"
68,"Navodaya Medical College",Raichur,Karnataka,2001,"10,92,852"
69,"Subbaiah Institute of Medical Sciences",Shivamogga,Karnataka,2012,"10,92,852"
70,"Shridevi Institute of Medical Sciences & Research Hospital",Tumakuru,Karnataka,2013,"10,92,852"
71,"Siddaganga Medical College & Research Institute",Tumakuru,Karnataka,2022,"10,92,852"
72,"Sri Chamundeshwari Medical College Hospital",Ramanagara,Karnataka,2023,"10,92,852"
73,"M.S. Ramaiah Medical College",Bengaluru,Karnataka,1979,"22,15,750"
74,"Sapthagiri Institute of Medical Sciences & Research Centre",Bengaluru,Karnataka,2011,"22,12,700"
75,"Khaja Banda Nawaz Institute of Medical Sciences",Kalaburagi,Karnataka,2000,"16,30,715"
76,"SDM College of Medical Sciences & Hospital",Dharwad,Karnataka,2003,"20,15,750"
77,"Adichunchanagiri Institute of Medical Sciences",Mandya,Karnataka,1986,"20,15,750"
78,"Dr. Chandramma Dayananda Sagar Institute of Medical Education",Harohalli,Karnataka,2020,"20,15,750"
79,"Katihar Medical College",Katihar,Bihar,1987,"9,35,000"
80,"Mata Gujri Memorial Medical College",Kishanganj,Bihar,1990,"9,63,000"
81,"Narayan Medical College & Hospital",Sasaram,Bihar,2008,"10,38,000"
82,"Lord Buddha Koshi Medical College and Hospital",Saharsa,Bihar,2012,"12,00,000"
83,"Shree Narayan Medical Institute & Hospital",Saharsa,Bihar,2021,"13,00,000"
84,"Radha Devi Jageshwari Memorial Medical College",Muzaffarpur,Bihar,2021,"13,00,000"
85,"Madhubani Medical College",Madhubani,Bihar,2018,"13,50,000"
86,"Netaji Subhas Medical College & Hospital",Bihta,Bihar,2020,"16,25,000"
87,"Jubilee Mission Medical College & Research Institute",Thrissur,Kerala,2003,"7,77,180"
88,"Amala Institute of Medical Sciences",Thrissur,Kerala,2002,"7,77,180"
89,"Malankara Orthodox Syrian Church Medical College",Kottayam,Kerala,2002,"7,77,180"
90,"Pushpagiri Institute of Medical Sciences",Thiruvalla,Kerala,2002,"7,77,180"
91,"Believers Church Medical College Hospital",Thiruvalla,Kerala,2016,"7,77,180"
92,"MES Medical College",Malappuram,Kerala,2004,"7,77,180"
93,"Sree Gokulam Medical College & Research Foundation",Venjaramoodu,Kerala,2004,"7,34,853"
94,"SUT Academy of Medical Sciences",Thiruvananthapuram,Kerala,2002,"7,39,528"
95,"Dr. Somervell Memorial CSI Medical College",Karakonam,Kerala,2002,"7,77,180"
96,"P.K. Das Institute of Medical Sciences",Ottapalam,Kerala,2014,"7,05,806"
97,"Travancore Medical College",Kollam,Kerala,2009,"7,77,180"
98,"KMCT Medical College",Kozhikode,Kerala,2008,"7,68,881"
99,"Malabar Medical College Hospital & Research Centre",Kozhikode,Kerala,2010,"7,77,180"
100,"DM Wayanad Institute of Medical Sciences (Moopen's)",Wayanad,Kerala,2013,"8,44,551"
101,"Azeezia Institute of Medical Sciences & Research",Kollam,Kerala,2008,"7,77,180"
102,"Sree Narayana Institute of Medical Sciences",Ernakulam,Kerala,2009,"8,09,488"
103,"Mount Zion Medical College",Pathanamthitta,Kerala,2012,"7,71,371"
104,"Al Azhar Medical College & Super Speciality Hospital",Thodupuzha,Kerala,2014,"7,77,180"
105,"Karuna Medical College",Palakkad,Kerala,2006,"7,50,266"
106,"Apollo Institute of Medical Sciences & Research",Chittoor,Andhra Pradesh,2016,"12,00,000"
107,"Alluri Sitaram Raju Academy of Medical Sciences",Eluru,Andhra Pradesh,2000,"12,00,000"
108,"Fathima Institute of Medical Sciences",Kadapa,Andhra Pradesh,2010,"12,00,000"
109,"Great Eastern Medical School and Hospital",Srikakulam,Andhra Pradesh,2010,"12,00,000"
110,"GSL Medical College",Rajahmundry,Andhra Pradesh,2002,"12,00,000"
111,"Gayatri Vidya Parishad Inst. of Health Care",Visakhapatnam,Andhra Pradesh,2016,"12,00,000"
112,"Katuri Medical College & Hospital",Guntur,Andhra Pradesh,2002,"12,00,000"
113,"Konaseema Institute of Medical Sciences & RF",Amalapuram,Andhra Pradesh,2005,"12,00,000"
114,"Maharajah's Institute of Medical Sciences",Vizianagaram,Andhra Pradesh,2002,"12,00,000"
115,"Narayana Medical College",Nellore,Andhra Pradesh,2000,"12,00,000"
116,"Nimra Institute of Medical Sciences",Vijayawada,Andhra Pradesh,2016,"12,00,000"
117,"NRI Medical College",Guntur,Andhra Pradesh,2001,"12,00,000"
118,"NRI Institute of Medical Sciences",Visakhapatnam,Andhra Pradesh,2012,"12,00,000"
119,"PES Institute of Medical Sciences and Research",Kuppam,Andhra Pradesh,2001,"12,00,000"
120,"Dr. Pinnamaneni Siddhartha Institute of Medical Sciences",Vijayawada,Andhra Pradesh,2002,"12,00,000"
121,"Santhiram Medical College",Nandyal,Andhra Pradesh,2005,"12,00,000"
122,"Viswabharathi Medical College",Kurnool,Andhra Pradesh,2014,"12,00,000"
123,"Christian Medical College",Ludhiana,Punjab,1894,"6,60,000"
124,"Dayanand Medical College & Hospital",Ludhiana,Punjab,1964,"10,41,000"
125,"Gian Sagar Medical College & Hospital",Patiala,Punjab,2007,"10,41,000"
126,"Punjab Institute of Medical Sciences",Jalandhar,Punjab,2011,"10,41,000"
127,"Adesh Institute of Medical Sciences & Research",Bathinda,Punjab,2006,"10,41,000"
128,"Sri Guru Ram Das Institute of Medical Sciences",Amritsar,Punjab,1997,"10,41,000"
129,"Apollo Institute of Medical Sciences and Research",Hyderabad,Telangana,2015,"13,00,000"
130,"Bhaskar Medical College",Moinabad,Telangana,2005,"11,55,000"
131,"Malla Reddy Institute of Medical Sciences",Hyderabad,Telangana,2012,"13,00,000"
132,"Mamata Academy of Medical Sciences",Hyderabad,Telangana,2019,"12,00,000"
133,"Kamineni Institute of Medical Sciences",Nalgonda,Telangana,1999,"13,00,000"
134,"Mediciti Institute of Medical Sciences",Medchal,Telangana,2002,"12,00,000"
135,"Mamata Medical College",Khammam,Telangana,1998,"12,00,000"
136,"Chalmeda Anand Rao Institute of Medical Sciences",Karimnagar,Telangana,2003,"13,00,000"
137,"MNR Medical College & Hospital",Sangareddy,Telangana,2001,"13,00,000"
138,"Kamineni Academy of Medical Sciences & Research",Hyderabad,Telangana,2012,"13,00,000"
139,"Prathima Institute of Medical Sciences",Karimnagar,Telangana,2001,"12,00,000"
140,"Malla Reddy Medical College for Women",Hyderabad,Telangana,2013,"12,00,000"
141,"S.V.S. Medical College",Mahabubnagar,Telangana,1999,"12,50,000"
142,"Dr. Patnam Mahender Reddy Institute of Medical Sciences",Chevella,Telangana,2019,"11,55,000"
143,"R.V.M. Institute of Medical Sciences & Research",Siddipet,Telangana,2016,"12,00,000"
144,"Surabhi Institute of Medical Sciences",Siddipet,Telangana,2019,"11,55,000"
145,"Mahavir Institute of Medical Sciences",Vikarabad,Telangana,2016,"11,55,000"
146,"Maheshwara Medical College & Hospital",Sangareddy,Telangana,2016,"11,55,000"
147,"TRR Institute of Medical Sciences",Sangareddy,Telangana,2020,"11,55,000"
148,"Prathima Relief Institute of Medical Sciences",Warangal,Telangana,2022,"11,55,000"
149,"Father Colombo Institute of Medical Sciences",Warangal,Telangana,2023,"11,55,000"
150,"Arundhati Institute of Medical Sciences",Hyderabad,Telangana,2023,"11,55,000"
151,"CMR Institute of Medical Sciences",Kandlakoya,Telangana,2023,"11,55,000"
152,"Neelima Institute of Medical Sciences",Hyderabad,Telangana,2023,"15,00,000"
153,"Deccan College of Medical Sciences",Hyderabad,Telangana,1984,"12,50,000"
154,"Ayaan Institute of Medical Sciences",Kanaka Mamidi,Telangana,2018,"12,00,000"
155,"Dr. V.R.K. Women's Medical College",Hyderabad,Telangana,2010,"12,00,000"
156,"Shadan Institute of Medical Sciences",Hyderabad,Telangana,2005,"12,00,000"
157,"People's College of Medical Sciences & RC",Bhopal,Madhya Pradesh,2005,"16,35,000"
158,"L.N. Medical College & Research Centre",Bhopal,Madhya Pradesh,2009,"16,58,800"
159,"Chirayu Medical College & Hospital",Bhopal,Madhya Pradesh,2011,"15,23,400"
160,"Sri Aurobindo Institute of Medical Sciences",Indore,Madhya Pradesh,2003,"12,49,760"
161,"Index Medical College Hospital & Research Centre",Indore,Madhya Pradesh,2007,"13,40,000"
162,"R.D. Gardi Medical College",Ujjain,Madhya Pradesh,2001,"9,00,000"
163,"Amaltas Institute of Medical Sciences",Dewas,Madhya Pradesh,2016,"13,17,500"
164,"RKDF Medical College Hospital & Research Centre",Bhopal,Madhya Pradesh,2014,"12,05,000"
165,"LNCT Medical College & Sewakunj Hospital",Indore,Madhya Pradesh,2021,"13,65,000"
166,"Sukh Sagar Medical College and Hospital",Jabalpur,Madhya Pradesh,2016,"9,50,000"
167,"Mahaveer Institute of Medical Science & Hospital",Bhopal,Madhya Pradesh,2020,"10,00,000"
168,"Ram Krishna Medical College Hospital & RC",Bhopal,Madhya Pradesh,2020,"9,00,000"
169,"Annapoorna Medical College & Hospital",Salem,Tamil Nadu,2011,"13,50,000"
170,"Arunai Medical College & Hospital",Thiruvannamalai,Tamil Nadu,2021,"13,50,000"
171,"Christian Medical College",Vellore,Tamil Nadu,1900,"53,000"
172,"Dhanalakshmi Srinivasan Medical College and Hospital",Perambalur,Tamil Nadu,2011,"13,50,000"
173,"Indira Medical College and Hospital",Thiruvallur,Tamil Nadu,2020,"13,50,000"
174,"Karpagam Faculty of Medical Sciences & Research",Coimbatore,Tamil Nadu,2012,"13,50,000"
175,"Karpaga Vinayaga Institute of Medical Sciences",Maduranthakam,Tamil Nadu,2009,"13,50,000"
176,"KMCH Institute of Health Sciences and Research",Coimbatore,Tamil Nadu,2019,"13,50,000"
177,"Madha Medical College and Research Institute",Chennai,Tamil Nadu,2011,"13,50,000"
178,"Melmaruvathur Adhiparasakthi Institute of Medical Sciences",Melmaruvathur,Tamil Nadu,2008,"13,50,000"
179,"Panimalar Medical College Hospital & Research Institute",Chennai,Tamil Nadu,2020,"13,50,000"
180,"PSG Institute of Medical Sciences & Research",Coimbatore,Tamil Nadu,1985,"13,50,000"
181,"Sree Mookambika Institute of Medical Sciences",Kanyakumari,Tamil Nadu,2006,"13,50,000"
182,"Sri Muthukumaran Medical College Hospital & RI",Chennai,Tamil Nadu,2009,"13,50,000"
183,"St. Peter's Medical College Hospital & RI",Krishnagiri,Tamil Nadu,2021,"13,50,000"
184,"Swamy Vivekananda Medical College and Hospital",Namakkal,Tamil Nadu,2021,"13,50,000"
185,"Tagore Medical College & Hospital",Chennai,Tamil Nadu,2010,"13,50,000"
186,"Trichy SRM Medical College Hospital and RC",Trichy,Tamil Nadu,2008,"13,50,000"
187,"Velammal Medical College Hospital & RI",Madurai,Tamil Nadu,2013,"13,50,000"
188,"K. J. Somaiya Medical College & Research Centre",Mumbai,Maharashtra,1991,"10,23,140"
189,"Terna Medical College",Navi Mumbai,Maharashtra,1991,"8,01,500"
190,"B.K.L. Walawalkar Rural Medical College",Ratnagiri,Maharashtra,2015,"9,58,371"
191,"MAEER's M.I.T.M.E.R. Medical College",Pune,Maharashtra,1995,"8,80,000"
192,"Smt. Kashibai Navale Medical College",Pune,Maharashtra,2007,"12,36,956"
193,"Ashwini Rural Medical College Hospital & RC",Solapur,Maharashtra,2012,"8,80,357"
194,"Dr. Vasantrao Pawar Medical College Hospital & RC",Nashik,Maharashtra,1990,"9,62,000"
195,"A.C.P.M. Medical College",Dhule,Maharashtra,1990,"8,28,000"
196,"Dr. Vithalrao Vikhe Patil Foundation's Medical College",Ahmednagar,Maharashtra,2004,"11,00,000"
197,"Dr. Ulhas Patil Medical College & Hospital",Jalgaon,Maharashtra,2008,"6,36,363"
198,"Prakash Institute of Medical Sciences & Research",Sangli,Maharashtra,2016,"6,41,364"
199,"S.M.B.T. Institute of Medical Sciences & Research",Nashik,Maharashtra,2014,"11,25,000"
200,"Institute of Medical Sciences and Research",Satara,Maharashtra,2012,"7,10,000"
201,"Vedanta Institute of Medical Sciences",Palghar,Maharashtra,2017,"16,87,000"
202,"N.K.P. Salve Institute of Medical Sciences",Nagpur,Maharashtra,1990,"10,42,076"
203,"Dr. Panjabrao Deshmukh Memorial Medical College",Amravati,Maharashtra,1984,"9,62,000"
204,"M.I.M.S.R. Medical College",Latur,Maharashtra,1990,"8,80,000"
205,"Indian Institute of Medical Science & Research",Jalna,Maharashtra,2013,"6,36,364"
206,"SSP Mandal's Medical College & Lifetime Hospital",Sindhudurg,Maharashtra,2021,"8,25,000"
207,"Dr. N.Y. Tasgaonkar Institute of Medical Science",Raigad,Maharashtra,2021,"7,27,273"
208,"Bharatratna Atal Bihari Vajpayee Medical College",Pune,Maharashtra,2021,"6,81,818"
209,"Shri Dhaneshwari Manav Vikas Mandal's College",Aurangabad,Maharashtra,2023,"8,00,000"
210,"Dr. Rajendra Gode Medical College",Amravati,Maharashtra,2023,"8,00,000"
211,"GMERS Medical College, Sola",Ahmedabad,Gujarat,2011,"3,30,000"
212,"GMERS Medical College, Gotri",Vadodara,Gujarat,2011,"3,30,000"
213,"GMERS Medical College",Gandhinagar,Gujarat,2011,"3,30,000"
214,"GMERS Medical College",Patan,Gujarat,2012,"3,30,000"
215,"GMERS Medical College",Valsad,Gujarat,2012,"3,30,000"
216,"GMERS Medical College",Junagadh,Gujarat,2015,"3,30,000"
217,"GMERS Medical College",Himmatnagar,Gujarat,2015,"3,30,000"
218,"GMERS Medical College",Vadnagar,Gujarat,2017,"3,30,000"
219,"Smt. N.H.L. Municipal Medical College",Ahmedabad,Gujarat,1963,"5,93,000"
220,"Narendra Modi Medical College",Ahmedabad,Gujarat,2009,"7,71,000"
221,"Surat Municipal Institute of Medical Education & Research",Surat,Gujarat,1999,"7,65,000"
222,"Pramukh Swami Medical College",Karamsad,Gujarat,1987,"8,70,000"
223,"C.U. Shah Medical College",Surendranagar,Gujarat,2002,"6,26,000"
224,"Gujarat Adani Institute of Medical Sciences",Bhuj,Gujarat,2009,"6,65,000"
225,"GCS Medical College and Research Center",Ahmedabad,Gujarat,2011,"8,60,000"
226,"Parul Institute of Medical Science and Research",Vadodara,Gujarat,2016,"8,25,000"
227,"Banas Medical College & Research Institute",Palanpur,Gujarat,2018,"7,65,000"
228,"Zydus Medical College and Hospital",Dahod,Gujarat,2018,"7,65,000"
229,"Dr. N.D. Desai Faculty of Medical Science and Research",Nadiad,Gujarat,2019,"7,85,000"
230,"Nootan Medical College and Research Centre",Visnagar,Gujarat,2019,"7,85,000"
231,"Dr. M.K. Shah Medical College & Research Centre",Ahmedabad,Gujarat,2016,"8,65,000"
232,"Shantabaa Medical College",Amreli,Gujarat,2019,"6,85,000"
233,"Dr Kiran C Patel Medical College & Research Institute",Bharuch,Gujarat,2020,"6,85,000"
234,"GMERS Medical College",Porbandar,Gujarat,2022,"3,30,000"
235,"GMERS Medical College",Godhra,Gujarat,2022,"3,30,000"
236,"GMERS Medical College",Rajpipla,Gujarat,2022,"3,30,000"
237,"GMERS Medical College",Morbi,Gujarat,2022,"3,30,000"
238,"GMERS Medical College",Navsari,Gujarat,2022,"3,30,000"
239,"SAL Institute of Medical Sciences",Ahmedabad,Gujarat,2023,"8,65,000"
240,"Swaminarayan Institute of Medical Sciences & Research",Gandhinagar,Gujarat,2023,"8,25,000"
241,"Ananya College of Medicine & Research",Gandhinagar,Gujarat,2023,"8,25,000"
242,"Kiran Medical College",Surat,Gujarat,2023,"8,65,000"
243,"American International Institute of Medical Sciences",Udaipur,Rajasthan,2016,"25,00,000"
244,"Ananta Institute of Medical Sciences & Research Centre",Rajsamand,Rajasthan,2016,"24,00,000"
245,"Geetanjali Medical College & Hospital",Udaipur,Rajasthan,2008,"28,00,000"
246,"JNU Institute for Medical Sciences & Research Centre",Jaipur,Rajasthan,2016,"25,50,000"
247,"NIMS Institute of Medical Sciences & Research",Jaipur,Rajasthan,2004,"22,00,000"
248,"Pacific Institute of Medical Sciences",Udaipur,Rajasthan,2015,"35,00,000"
249,"Pacific Medical College & Hospital",Udaipur,Rajasthan,2014,"23,50,000"
250,"Dr. S.S. Tantia Medical College Hospital & RC",Sriganganagar,Rajasthan,2021,"26,75,000"
251,"Mahatma Gandhi Medical College & Hospital",Jaipur,Rajasthan,2000,"26,75,000"
252,"Pondicherry Institute of Medical Sciences",Puducherry,Pondicherry,2002,"16,80,000"
253,"Sri Manakula Vinayagar Medical College & Hospital",Puducherry,Pondicherry,2005,"16,80,000"
254,"Sri Venkateswaraa Medical College Hospital & RC",Puducherry,Pondicherry,2007,"16,80,000"
255,"Raipur Institute of Medical Sciences",Raipur,Chhattisgarh,2016,"7,45,187"
256,"Shri Shankaracharya Institute of Medical Sciences",Bhilai,Chhattisgarh,2016,"7,99,187"
257,"Shri Balaji Institute of Medical Science",Raipur,Chhattisgarh,2021,"7,50,187"
258,"Himalayan Institute of Medical Sciences",Dehradun,Uttarakhand,1995,"20,50,000"
259,"Shri Guru Ram Rai Institute of Medical & Health Sciences",Dehradun,Uttarakhand,2006,"17,50,000"
260,"Gautam Buddha Chikitsa Mahavidyalaya",Dehradun,Uttarakhand,2022,"13,22,000"
261,"Hi-Tech Medical College & Hospital",Rourkela,Odisha,2012,"5,64,500"
262,"Hi-Tech Medical College & Hospital",Bhubaneswar,Odisha,2005,"6,50,000"
263,"Maharishi Markandeshwar Medical College & Hospital",Solan,Himachal Pradesh,2013,"15,97,000"
264,"Shija Academy of Health Sciences",Imphal,Manipur,2021,"19,00,000"
265,"Laxmi Chandravansi Medical College & Hospital",Palamu,Jharkhand,2021,"10,25,000"
266,"Sikkim Manipal Institute of Medical Sciences",Gangtok,Sikkim,2001,"18,70,000"
267,"Acharya Shri Chander College of Medical Sciences",Jammu,Jammu & Kashmir,1996,"4,95,000"
